epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,529.098,1.10405,0.72551,1.2613,0.96541,0.97087,0.99068,0.73663,0.91875,0.51478,1.13304,0.0011882,0.0011882,0.0011882
43,541.911,1.10412,0.70301,1.2554,0.96918,0.95716,0.99038,0.73337,0.92242,0.53209,1.14172,0.0011684,0.0011684,0.0011684
44,554.464,1.07197,0.69454,1.25042,0.95513,0.97246,0.98472,0.74539,0.90811,0.48768,1.12854,0.0011486,0.0011486,0.0011486
45,567.175,1.02876,0.64914,1.21982,0.98544,0.98092,0.99273,0.75602,0.91433,0.45772,1.11748,0.0011288,0.0011288,0.0011288
46,580.218,1.0711,0.69834,1.23598,0.98011,0.97246,0.99134,0.74257,0.91078,0.46925,1.12453,0.001109,0.001109,0.001109
47,592.968,1.01279,0.6549,1.20153,0.98686,0.97926,0.99399,0.75878,0.87607,0.44263,1.10502,0.0010892,0.0010892,0.0010892
48,605.704,1.00062,0.61998,1.2014,0.97424,0.97681,0.99176,0.75522,0.87743,0.46377,1.10126,0.0010694,0.0010694,0.0010694
49,618.359,0.98419,0.62061,1.1956,0.98211,0.98551,0.99344,0.76438,0.86386,0.44939,1.09052,0.0010496,0.0010496,0.0010496
50,631.444,0.99385,0.61249,1.19622,0.98391,0.97508,0.99274,0.75334,0.8812,0.44633,1.10584,0.0010298,0.0010298,0.0010298
51,644.168,0.98764,0.62471,1.19659,0.98367,0.98986,0.99403,0.77479,0.82087,0.41996,1.07794,0.00101,0.00101,0.00101
52,656.796,0.98624,0.6171,1.18422,0.9882,0.98116,0.99409,0.77369,0.84056,0.42374,1.0799,0.0009902,0.0009902,0.0009902
53,669.038,0.97883,0.6186,1.184,0.98268,0.98695,0.99347,0.77007,0.8363,0.4393,1.07269,0.0009704,0.0009704,0.0009704
54,681.104,0.96202,0.57731,1.17451,0.99126,0.98841,0.9944,0.77663,0.82259,0.4196,1.06544,0.0009506,0.0009506,0.0009506
55,693.699,0.97701,0.59369,1.19284,0.98021,0.98986,0.99388,0.78629,0.81666,0.40827,1.06133,0.0009308,0.0009308,0.0009308
56,705.874,0.98119,0.59758,1.18989,0.98699,0.98916,0.99469,0.78357,0.81005,0.40775,1.06442,0.000911,0.000911,0.000911
57,718.037,0.91898,0.55237,1.13712,0.98459,0.98986,0.99457,0.79761,0.77952,0.38891,1.04163,0.0008912,0.0008912,0.0008912
58,730.378,0.93007,0.56678,1.14952,0.98705,0.994,0.99478,0.79102,0.79205,0.39062,1.05136,0.0008714,0.0008714,0.0008714
59,742.573,0.9016,0.54807,1.13803,0.98696,0.9971,0.99484,0.8015,0.75647,0.38303,1.03738,0.0008516,0.0008516,0.0008516
60,754.932,0.92013,0.55692,1.16273,0.9927,0.986,0.9945,0.79913,0.76979,0.38662,1.04652,0.0008318,0.0008318,0.0008318
61,767.602,0.89246,0.54698,1.14392,0.98989,0.99355,0.99356,0.8038,0.75497,0.38426,1.03655,0.000812,0.000812,0.000812
62,780.316,0.87807,0.5497,1.12236,0.98561,0.99278,0.99428,0.79564,0.76356,0.38903,1.03624,0.0007922,0.0007922,0.0007922
63,793.194,0.90681,0.56112,1.15913,0.99656,0.98841,0.99488,0.80716,0.72018,0.37449,1.01243,0.0007724,0.0007724,0.0007724
64,807.068,0.88993,0.56106,1.14,0.9862,0.9942,0.99412,0.80944,0.72247,0.37976,1.01023,0.0007526,0.0007526,0.0007526
65,819.66,0.90369,0.54803,1.13777,0.98986,0.99081,0.99414,0.80988,0.74142,0.37772,1.0279,0.0007328,0.0007328,0.0007328
66,832.166,0.86629,0.52418,1.11829,0.99276,0.99328,0.99447,0.82109,0.71571,0.36378,1.01621,0.000713,0.000713,0.000713
67,844.74,0.85695,0.52212,1.11783,0.99131,0.99231,0.99439,0.81777,0.71077,0.36136,1.00688,0.0006932,0.0006932,0.0006932
68,857.7,0.85356,0.51116,1.10855,0.99417,0.98913,0.99475,0.8123,0.7116,0.36029,1.00916,0.0006734,0.0006734,0.0006734
69,871.391,0.87667,0.53115,1.13411,0.99363,0.9913,0.99449,0.82278,0.71468,0.35844,1.00806,0.0006536,0.0006536,0.0006536
70,884.71,0.80744,0.49343,1.09631,0.99132,0.9934,0.9938,0.83305,0.67702,0.3507,0.99028,0.0006338,0.0006338,0.0006338
71,897.642,0.8584,0.5308,1.11594,0.98575,0.98986,0.99451,0.83239,0.70046,0.35756,0.99844,0.000614,0.000614,0.000614
72,910.216,0.8329,0.51246,1.10122,0.98837,0.98576,0.99437,0.83172,0.69272,0.35106,0.99276,0.0005942,0.0005942,0.0005942
73,922.711,0.82794,0.49759,1.10203,0.98558,0.9907,0.99444,0.83344,0.68042,0.33833,0.98494,0.0005744,0.0005744,0.0005744
74,935.584,0.81568,0.49526,1.09653,0.99763,0.9913,0.99499,0.83546,0.6604,0.33148,0.98232,0.0005546,0.0005546,0.0005546
75,948.084,0.82433,0.49009,1.11089,0.995,0.9942,0.99496,0.83848,0.65881,0.32742,0.97997,0.0005348,0.0005348,0.0005348
76,960.607,0.83356,0.48612,1.10284,0.99357,0.9942,0.99493,0.84149,0.64491,0.33065,0.97193,0.000515,0.000515,0.000515
77,973.164,0.78369,0.4705,1.07795,0.99854,0.98809,0.9949,0.84487,0.6418,0.32882,0.96662,0.0004952,0.0004952,0.0004952
78,985.655,0.78662,0.46025,1.08411,0.99276,0.99427,0.99493,0.85198,0.63716,0.32924,0.96659,0.0004754,0.0004754,0.0004754
79,998.478,0.80433,0.4813,1.08714,0.99234,0.9971,0.99499,0.84931,0.61439,0.32032,0.95352,0.0004556,0.0004556,0.0004556
80,1011.01,0.74708,0.44474,1.05651,0.99566,0.9942,0.99494,0.85098,0.6252,0.32034,0.95607,0.0004358,0.0004358,0.0004358
81,1023.26,0.76967,0.46643,1.08847,0.99461,0.9942,0.99482,0.85325,0.60543,0.3192,0.94762,0.000416,0.000416,0.000416
82,1035.48,0.7444,0.45471,1.04866,0.99551,0.99275,0.99484,0.86572,0.58411,0.30844,0.93805,0.0003962,0.0003962,0.0003962
83,1047.7,0.74484,0.45432,1.07049,0.98956,1,0.99481,0.86753,0.58603,0.31002,0.93927,0.0003764,0.0003764,0.0003764
84,1059.91,0.76277,0.46724,1.07283,0.99854,0.99249,0.99496,0.86426,0.58229,0.30219,0.94074,0.0003566,0.0003566,0.0003566
85,1072.31,0.73911,0.43406,1.04419,0.98712,0.99944,0.99494,0.86657,0.57226,0.30095,0.93629,0.0003368,0.0003368,0.0003368
86,1084.53,0.71679,0.43316,1.04097,0.99478,0.99275,0.99496,0.87694,0.56019,0.29782,0.9309,0.000317,0.000317,0.000317
87,1097.16,0.71901,0.43411,1.0442,0.99638,0.99275,0.99493,0.8781,0.55583,0.28936,0.92821,0.0002972,0.0002972,0.0002972
88,1109.64,0.70358,0.42909,1.03747,0.99709,0.9939,0.99485,0.87733,0.55166,0.28781,0.92246,0.0002774,0.0002774,0.0002774
89,1122.34,0.72658,0.43768,1.05101,0.99682,0.9942,0.99484,0.87794,0.54483,0.28363,0.91839,0.0002576,0.0002576,0.0002576
90,1134.9,0.69012,0.41867,1.02639,0.99254,1,0.99487,0.88053,0.5363,0.28216,0.91888,0.0002378,0.0002378,0.0002378
91,1164.32,0.63246,0.33955,1.00092,0.99278,0.99677,0.99488,0.87353,0.54038,0.29148,0.91867,0.000218,0.000218,0.000218
92,1176.85,0.58843,0.33091,0.9478,0.99386,0.99275,0.99494,0.87535,0.54401,0.28912,0.92034,0.0001982,0.0001982,0.0001982
93,1189.6,0.60467,0.31893,0.96476,0.99565,0.99455,0.99497,0.88202,0.53307,0.28401,0.91635,0.0001784,0.0001784,0.0001784
94,1201.73,0.59897,0.3161,0.95134,0.99132,0.9971,0.99494,0.8847,0.51507,0.27544,0.90941,0.0001586,0.0001586,0.0001586
95,1213.33,0.59039,0.31302,0.96995,0.99549,0.9971,0.99491,0.89056,0.50904,0.27336,0.90578,0.0001388,0.0001388,0.0001388
96,1225.78,0.57561,0.30313,0.93285,0.99502,0.9971,0.9949,0.8939,0.5076,0.27162,0.90563,0.000119,0.000119,0.000119
97,1239.03,0.57403,0.30443,0.95353,0.99417,0.9971,0.99493,0.89147,0.50624,0.2711,0.90449,9.92e-05,9.92e-05,9.92e-05
98,1251.67,0.56585,0.29377,0.94526,0.9971,0.99681,0.99494,0.89341,0.49968,0.26661,0.90148,7.94e-05,7.94e-05,7.94e-05
99,1264.3,0.55808,0.29616,0.9434,0.99553,0.9971,0.99494,0.89653,0.49623,0.26309,0.90052,5.96e-05,5.96e-05,5.96e-05
100,1277.32,0.54454,0.28425,0.9352,0.99589,0.9971,0.99496,0.89778,0.49068,0.26153,0.89821,3.98e-05,3.98e-05,3.98e-05
